word,pinyin,english,level,language
爱情,ài qíng,romance,HSK4,1
安排,ān pái,to arrange,HSK4,1
安全,ān quán,safe,HSK4,1
暗,àn,to close (a door),HSK4,1
按时,àn shí,on time,HSK4,1
按照,àn zhào,according to,HSK4,1
包括,bāo kuò,to comprise,HSK4,1
保护,bǎo hù,to protect,HSK4,1
保证,bǎo zhèng,guarantee,HSK4,1
抱,bào,to hold,HSK4,1
抱歉,bào qiàn,to be sorry,HSK4,1
报道,bào dào,report,HSK4,1
报名,bào míng,to sign up,HSK4,1
倍,bèi,(two,HSK4,1
本来,běn lái,original,HSK4,1
笨,bèn,stupid,HSK4,1
笔记本,bǐ jì běn,notebook,HSK4,1
毕业,bì yè,graduation,HSK4,1
遍,biàn,everywhere,HSK4,1
标准,biāo zhǔn,(an official) standard,HSK4,1
表达,biǎo dá,to voice (an opinion),HSK4,1
表格,biǎo gé,form,HSK4,1
表扬,biǎo yáng,to praise,HSK4,1
饼干,bǐng gān,biscuit,HSK4,1
并且,bìng qiě,and,HSK4,1
博士,bó shì,doctor,HSK4,1
不但,bù dàn,not only (... but also...),HSK4,1
不过,bù guò,only,HSK4,1
不得不,bù dé bù,have no choice or option but to,HSK4,1
不管,bù guǎn,no matter (what,HSK4,1
不仅,bù jǐn,not only (this one),HSK4,1
部分,bù fèn,part,HSK4,1
擦,cā,to wipe,HSK4,1
猜,cāi,to guess,HSK4,1
材料,cái liào,material,HSK4,1
参观,cān guān,to look around,HSK4,1
差不多,chà bu duō,almost,HSK4,1
长城,Cháng chéng,the Great Wall,HSK4,1
长江,Cháng Jiāng,Yangtze River,HSK4,1
尝,cháng,to taste,HSK4,1
场,chǎng,large place used for a specific purpose,HSK4,1
超过,chāo guò,to surpass,HSK4,1
吵,chǎo,to quarrel,HSK4,1
乘坐,chéng zuò,to ride (in a vehicle),HSK4,1
成功,chéng gōng,success,HSK4,1
成熟,chéng shú,mature,HSK4,1
成为,chéng wéi,to become,HSK4,1
诚实,chéng shí,honest,HSK4,1
吃惊,chī jīng,to be startled,HSK4,1
重新,chóng xīn,again,HSK4,1
抽烟,chōu yān,to smoke (a cigarette,HSK4,1
出差,chū chāi,to go on an official or business trip,HSK4,1
出发,chū fā,to start out,HSK4,1
出生,chū shēng,to be born,HSK4,1
传真,chuán zhēn,fax,HSK4,1
窗户,chuāng hu,window,HSK4,1
词典,cí diǎn,dictionary (of Chinese compound words),HSK4,1
从来,cóng lái,always,HSK4,1
粗心,cū xīn,careless,HSK4,1
答案,dá àn,answer,HSK4,1
打扮,dǎ ban,to decorate,HSK4,1
打扰,dǎ rǎo,to disturb,HSK4,1
打印,dǎ yìn,to print,HSK4,1
打折,dǎ zhé,to give a discount,HSK4,1
打针,dǎ zhēn,to give or have an injection,HSK4,1
大概,dà gài,roughly,HSK4,1
大使馆,dà shǐ guǎn,embassy,HSK4,1
大约,dà yuē,approximately,HSK4,1
戴,dài,to put on or wear (glasses,HSK4,1
代表,dài biǎo,representative,HSK4,1
代替,dài tì,instead,HSK4,1
大夫,dài fu,doctor,HSK4,1
当,dāng,to be,HSK4,1
当地,dāng dì,local,HSK4,1
当时,dāng shí,then,HSK4,1
刀,dāo,knife,HSK4,1
导游,dǎo yóu,tour guide,HSK4,1
到处,dào chù,everywhere,HSK4,1
到底,dào dǐ,finally,HSK4,1
道歉,dào qiàn,to apologize,HSK4,1
得意,dé yì,proud of oneself,HSK4,1
等,děng,class,HSK4,1
等,děng,class,HSK4,1
底,dǐ,background,HSK4,1
地球,dì qiú,the Earth,HSK4,1
地址,dì zhǐ,address,HSK4,1
掉,diào,to fall,HSK4,1
调查,diào chá,investigation,HSK4,1
丢,diū,to lose,HSK4,1
动作,dòng zuò,movement,HSK4,1
堵车,dǔ chē,traffic jam,HSK4,1
肚子,dù zi,belly,HSK4,1
断,duàn,to break,HSK4,1
对,duì,couple,HSK4,1
对,duì,couple,HSK4,1
对话,duì huà,dialog,HSK4,1
对面,duì miàn,(sitting) opposite,HSK4,1
顿,dùn,to stop,HSK4,1
朵,duǒ,flower,HSK4,1
而,ér,and,HSK4,1
儿童,ér tóng,child,HSK4,1
发,fā,to send out,HSK4,1
发生,fā shēng,to happen,HSK4,1
发展,fā zhǎn,development,HSK4,1
法律,fǎ lǜ,law,HSK4,1
翻译,fān yì,to translate,HSK4,1
烦恼,fán nǎo,to be worried,HSK4,1
反对,fǎn duì,to fight against,HSK4,1
反映,fǎn yìng,to mirror,HSK4,1
范围,fàn wéi,range,HSK4,1
方法,fāng fǎ,method,HSK4,1
方面,fāng miàn,respect,HSK4,1
方向,fāng xiàng,direction,HSK4,1
访问,fǎng wèn,to visit,HSK4,1
放弃,fàng qì,to renounce,HSK4,1
放暑假,fàng shǔ jià,The summer holidays,HSK4,1
分之,fēn zhī,(indicating a fraction),HSK4,1
份,fèn,classifier for gifts,HSK4,1
风景,fēng jǐng,scenery,HSK4,1
丰富,fēng fù,to enrich,HSK4,1
否则,fǒu zé,if not,HSK4,1
符合,fú hé,in keeping with,HSK4,1
富,fù,rich,HSK4,1
负责,fù zé,to be in charge of,HSK4,1
复印,fù yìn,to photocopy,HSK4,1
复杂,fù zá,complicated,HSK4,1
父亲,fù qīn,father,HSK4,1
改变,gǎi biàn,to change,HSK4,1
干杯,gān bēi,to drink a toast,HSK4,1
干燥,gān zào,to dry (of weather,HSK4,1
感动,gǎn dòng,to move (sb),HSK4,1
感觉,gǎn jué,to feel,HSK4,1
感情,gǎn qíng,feeling,HSK4,1
感谢,gǎn xiè,(express) thanks,HSK4,1
干,gàn,tree trunk,HSK4,1
刚刚,gāng gang,just recently,HSK4,1
高级,gāo jí,high level,HSK4,1
个子,gè zi,height,HSK4,1
各,gè,each,HSK4,1
公里,gōng lǐ,kilometer,HSK4,1
