word,english,pinyin,level,language
阿姨,maternal aunt,ā yí,HSK3,1
啊,modal particle ending sentence,a,HSK3,1
矮,low,ǎi,HSK3,1
爱好,to like,ài hào,HSK3,1
安静,quiet,ān jìng,HSK3,1
把,to hold,bǎ,HSK3,1
搬,to move,bān,HSK3,1
班,team,bān,HSK3,1
半,half,bàn,HSK3,1
办法,means,bàn fǎ,HSK3,1
办公室,office,bàn gōng shì,HSK3,1
帮忙,to help,bāng máng,HSK3,1
包,to cover,bāo,HSK3,1
饱,to eat till full,bǎo,HSK3,1
北方,north,běi fāng,HSK3,1
被,quilt,bèi,HSK3,1
鼻子,nose,bí zi,HSK3,1
比较,to compare,bǐ jiào,HSK3,1
比赛,competition (sports etc),bǐ sài,HSK3,1
必须,to have to,bì xū,HSK3,1
变化,change,biàn huà,HSK3,1
表示,to express,biǎo shì,HSK3,1
表演,play,biǎo yǎn,HSK3,1
别人,other people,bié ren,HSK3,1
宾馆,guesthouse,bīn guǎn,HSK3,1
冰箱,icebox,bīng xiāng,HSK3,1
才,a moment ago,cái,HSK3,1
菜单,menu,cài dān,HSK3,1
参加,to participate,cān jiā,HSK3,1
草,grass,cǎo,HSK3,1
层,layer,céng,HSK3,1
差,to differ from,chà,HSK3,1
超市,supermarket (abbr.),chāo shì,HSK3,1
衬衫,shirt,chèn shān,HSK3,1
成绩,achievement,chéng jì,HSK3,1
城市,city,chéng shì,HSK3,1
迟到,to arrive late,chí dào,HSK3,1
出现,to appear,chū xiàn,HSK3,1
除了,besides,chú le,HSK3,1
厨房,kitchen,chú fáng,HSK3,1
春,spring (time),chūn,HSK3,1
词语,word (general term including monosyllables through to short phrases),cí yǔ,HSK3,1
聪明,acute (of sight and hearing),cōng ming,HSK3,1
打扫,to clean,dǎ sǎo,HSK3,1
打算,to plan,dǎ suàn,HSK3,1
带,band,dài,HSK3,1
担心,anxious,dān xīn,HSK3,1
蛋糕,cake,dàn gāo,HSK3,1
当然,only natural,dāng rán,HSK3,1
地,#NAME?,de,HSK3,1
灯,lamp,dēng,HSK3,1
低,low,dī,HSK3,1
地方,area,dì fang,HSK3,1
地铁,subway,dì tiě,HSK3,1
地图,map,dì tú,HSK3,1
电梯,elevator,diàn tī,HSK3,1
电子,electronic,diàn zǐ,HSK3,1
冬,sound of beating a drum,dōng,HSK3,1
东,east,dōng,HSK3,1
动物,animal,dòng wù,HSK3,1
短,short or brief,duǎn,HSK3,1
段,paragraph,duàn,HSK3,1
锻炼,to engage in physical exercise,duàn liàn,HSK3,1
多么,how (wonderful etc),duō me,HSK3,1
饿,to be hungry,è,HSK3,1
而且,(not only ...) but also,ér qiě,HSK3,1
耳朵,ear,ěr duo,HSK3,1
发烧,to have a high temperature (from illness),fā shāo,HSK3,1
发现,to find,fā xiàn,HSK3,1
方便,convenient,fāng biàn,HSK3,1
放,to release,fàng,HSK3,1
放心,to feel relieved,fàng xīn,HSK3,1
分,to divide,fēn,HSK3,1
附近,(in the) vicinity,fù jìn,HSK3,1
复习,variant of 復習|复习,fù xí,HSK3,1
