word,pinyin,english,level,language
唉,āi,interjection or grunt of agreement,HSK5,1
爱护,ài hù,to cherish,HSK5,1
爱惜,ài xī,to cherish,HSK5,1
爱心,ài xīn,compassion,HSK5,1
安慰,ān wèi,to comfort,HSK5,1
安装,ān zhuāng,to install,HSK5,1
岸,àn,bank,HSK5,1
把握,bǎ wò,to grasp (also fig.),HSK5,1
摆,bǎi,to arrange,HSK5,1
班主任,bān zhǔ rèn,teacher in charge of a class,HSK5,1
办理,bàn lǐ,to handle,HSK5,1
棒,bàng,a stick,HSK5,1
傍晚,bàng wǎn,in the evening,HSK5,1
包裹,bāo guǒ,wrap up,HSK5,1
包含,bāo hán,to contain,HSK5,1
包子,bāo zi,steamed stuffed bun,HSK5,1
薄,báo,thin,HSK5,1
宝贝,bǎo bèi,treasured object,HSK5,1
宝贵,bǎo guì,valuable,HSK5,1
保持,bǎo chí,to keep,HSK5,1
保存,bǎo cún,to conserve,HSK5,1
保留,bǎo liú,to retain,HSK5,1
保险,bǎo xiǎn,insurance,HSK5,1
报告,bào gào,to inform,HSK5,1
悲观,bēi guān,pessimistic,HSK5,1
被子,bèi zi,quilt,HSK5,1
背,bèi,the back of a body or object,HSK5,1
背景,bèi jǐng,background,HSK5,1
本科,běn kē,undergraduate course,HSK5,1
本领,běn lǐng,skill,HSK5,1
本质,běn zhì,essence,HSK5,1
比例,bǐ lì,proportion,HSK5,1
比如,bǐ rú,for example,HSK5,1
彼此,bǐ cǐ,each other,HSK5,1
必然,bì rán,inevitable,HSK5,1
必需,bì xū,to need,HSK5,1
必要,bì yào,necessary,HSK5,1
毕竟,bì jìng,after all,HSK5,1
避免,bì miǎn,to avert,HSK5,1
鞭炮,biān pào,firecrackers,HSK5,1
编辑,biān jí,to edit,HSK5,1
便,biàn,ordinary,HSK5,1
辩论,biàn lùn,debate,HSK5,1
标点,biāo diǎn,punctuation,HSK5,1
标志,biāo zhì,sign,HSK5,1
表面,biǎo miàn,surface,HSK5,1
表明,biǎo míng,to make clear,HSK5,1
表情,biǎo qíng,(facial) expression,HSK5,1
表现,biǎo xiàn,to show,HSK5,1
丙,bǐng,third of 10 heavenly stems 十天干,HSK5,1
病毒,bìng dú,virus,HSK5,1
玻璃,bō li,glass,HSK5,1
博物馆,bó wù guǎn,museum,HSK5,1
脖子,bó zi,neck,HSK5,1
不必,bù bì,need not,HSK5,1
不断,bù duàn,unceasing,HSK5,1
不见得,bù jiàn de,not necessarily,HSK5,1
不耐烦,bù nài fán,impatience,HSK5,1
不要紧,bù yào jǐn,unimportant,HSK5,1
补充,bǔ chōng,to replenish,HSK5,1
不安,bù ān,unpeaceful,HSK5,1
不得了,bù dé liǎo,desperately serious,HSK5,1
不好意思,bù hǎo yì si,to feel embarrassed,HSK5,1
不免,bù miǎn,inevitably,HSK5,1
不然,bù rán,not so,HSK5,1
不如,bù rú,not equal to,HSK5,1
不足,bù zú,insufficient,HSK5,1
布,bù,cloth,HSK5,1
步骤,bù zhòu,procedure,HSK5,1
部门,bù mén,department,HSK5,1
财产,cái chǎn,property,HSK5,1
踩,cǎi,to step on,HSK5,1
采访,cǎi fǎng,to interview,HSK5,1
采取,cǎi qǔ,to adopt or carry out (measures,HSK5,1
彩虹,cǎi hóng,rainbow,HSK5,1
参考,cān kǎo,consultation,HSK5,1
参与,cān yù,to participate (in sth),HSK5,1
餐厅,cān tīng,dining hall,HSK5,1
残疾,cán jí,disabled,HSK5,1
惭愧,cán kuì,ashamed,HSK5,1
操场,cāo chǎng,playground,HSK5,1
